,ngram,NEG,NEUT,POS
233,껄끄럽게,1.0,0.0,0.0
234,거칠고,1.0,0.0,0.0
235,나쁘다,1.0,0.0,0.0
236,거칠고,1.0,0.0,0.0
237,무뚝뚝하다,1.0,0.0,0.0
238,거칠고,1.0,0.0,0.0
239,사나우며,1.0,0.0,0.0
240,거칠고,1.0,0.0,0.0
241,세차다,1.0,0.0,0.0
242,거칠고,1.0,0.0,0.0
243,심하다,1.0,0.0,0.0
244,거칠고,1.0,0.0,0.0
245,험하게,1.0,0.0,0.0
246,거칠고,1.0,0.0,0.0
247,험한,1.0,0.0,0.0
248,거칠다,1.0,0.0,0.0
249,거칠면서,1.0,0.0,0.0
250,거칠면서,1.0,0.0,0.0
251,가쁘고,1.0,0.0,0.0
252,거칠어져,1.0,0.0,0.0
253,걱정,1.0,0.0,0.0
254,걱정이나,1.0,0.0,0.0
255,언짢은,1.0,0.0,0.0
256,건강에,1.0,0.0,0.0
257,해로운,1.0,0.0,0.0
258,건방져,1.0,0.0,0.0
259,건방지게,1.0,0.0,0.0
260,건방지게,1.0,0.0,0.0
261,행동하다,1.0,0.0,0.0
262,건방지네,1.0,0.0,0.0
263,건방지다,1.0,0.0,0.0
264,건방지며,1.0,0.0,0.0
265,건방짐,1.0,0.0,0.0
266,검사에,1.0,0.0,0.0
267,불합격한,1.0,0.0,0.0
268,겁에,1.0,0.0,0.0
269,지리다,1.0,0.0,0.0
270,겁에,1.0,0.0,0.0
271,질려,1.0,0.0,0.0
272,겁에,1.0,0.0,0.0
273,질려서,1.0,0.0,0.0
274,겁에,1.0,0.0,0.0
275,질리거나,1.0,0.0,0.0
276,겁이,1.0,0.0,0.0
277,많고,1.0,0.0,0.0
278,겁이,1.0,0.0,0.0
279,많다,1.0,0.0,0.0
280,겁이,1.0,0.0,0.0
281,많아,1.0,0.0,0.0
282,겁이,1.0,0.0,0.0
283,많은,1.0,0.0,0.0
284,겁이,1.0,0.0,0.0
285,많음,1.0,0.0,0.0
286,겁쟁이,1.0,0.0,0.0
287,게걸스럽게,1.0,0.0,0.0
288,게걸스럽게,1.0,0.0,0.0
289,돌아다니는,1.0,0.0,0.0
290,게걸스럽게,1.0,0.0,0.0
291,돌아다니다,1.0,0.0,0.0
292,게을러빠지다,1.0,0.0,0.0
293,게을러터지다,1.0,0.0,0.0
294,격노,1.0,0.0,0.0
295,격노하다,1.0,0.0,0.0
296,격분,1.0,0.0,0.0
297,격분하다,1.0,0.0,0.0
298,격하게,1.0,0.0,0.0
299,격하게,1.0,0.0,0.0
300,되다,1.0,0.0,0.0
301,격하시키다,1.0,0.0,0.0
302,격한,1.0,0.0,0.0
303,격한,1.0,0.0,0.0
304,감정이,1.0,0.0,0.0
305,격한,1.0,0.0,0.0
306,기운이,1.0,0.0,0.0
307,격한,1.0,0.0,0.0
308,느낌이,1.0,0.0,0.0
309,견디기,1.0,0.0,0.0
310,어렵게,1.0,0.0,0.0
311,견디기가,1.0,0.0,0.0
312,어려울,1.0,0.0,0.0
313,견딜,1.0,0.0,0.0
314,수,1.0,0.0,0.0
315,없는,1.0,0.0,0.0
316,결딴날,1.0,0.0,0.0
317,결딴날,1.0,0.0,0.0
318,듯이,1.0,0.0,0.0
319,결석,1.0,0.0,0.0
320,결석하다,1.0,0.0,0.0
321,결핍,1.0,0.0,0.0
322,결핍증,1.0,0.0,0.0
323,겹거나,1.0,0.0,0.0
324,겹게,1.0,0.0,0.0
325,겹게,1.0,0.0,0.0
326,여기다,1.0,0.0,0.0
327,경련을,1.0,0.0,0.0
328,일으키다,1.0,0.0,0.0
329,경련이,1.0,0.0,0.0
330,일어나,1.0,0.0,0.0
331,경망스러우며,1.0,0.0,0.0
332,추잡하다,1.0,0.0,0.0
333,경망스럽게,1.0,0.0,0.0
334,내흔들거나,1.0,0.0,0.0
335,경망스럽다,1.0,0.0,0.0
336,경멸,1.0,0.0,0.0
337,경멸하다,1.0,0.0,0.0
338,경멸히,1.0,0.0,0.0
339,경멸히,1.0,0.0,0.0
340,여겨,1.0,0.0,0.0
341,경박스럽게,1.0,0.0,0.0
342,함부로,1.0,0.0,0.0
343,경상,1.0,0.0,0.0
344,경솔하고,1.0,0.0,0.0
345,방정맞게,1.0,0.0,0.0
346,계속,1.0,0.0,0.0
347,부정하다,1.0,0.0,0.0
348,계속,1.0,0.0,0.0
349,불평을,1.0,0.0,0.0
350,고난,1.0,0.0,0.0
351,고단하다,1.0,0.0,0.0
352,고단하여,1.0,0.0,0.0
353,고달프다,1.0,0.0,0.0
354,고도화,1.0,0.0,0.0
355,고도화되다,1.0,0.0,0.0
356,고되다,1.0,0.0,0.0
357,고생스러운,1.0,0.0,0.0
358,고생하거나,1.0,0.0,0.0
359,두려워하여,1.0,0.0,0.0
360,고약하게,1.0,0.0,0.0
361,고약하다,1.0,0.0,0.0
362,고약함,1.0,0.0,0.0
363,고약해서,1.0,0.0,0.0
364,고충,1.0,0.0,0.0
365,고통,1.0,0.0,0.0
366,고통스러운,1.0,0.0,0.0
367,고통스러운,1.0,0.0,0.0
368,상태,1.0,0.0,0.0
369,고통스러운,1.0,0.0,0.0
370,일이나,1.0,0.0,0.0
371,고통스럽거나,1.0,0.0,0.0
372,고통스럽게,1.0,0.0,0.0
373,고통스럽게,1.0,0.0,0.0
374,일함,1.0,0.0,0.0
375,고통스럽다,1.0,0.0,0.0
376,고통을,1.0,0.0,0.0
377,고통을,1.0,0.0,0.0
378,당하여,1.0,0.0,0.0
379,고통을,1.0,0.0,0.0
380,이른다,1.0,0.0,0.0
381,고통을,1.0,0.0,0.0
382,주다,1.0,0.0,0.0
383,고통을,1.0,0.0,0.0
384,주며,1.0,0.0,0.0
385,고통이,1.0,0.0,0.0
386,고통이,1.0,0.0,0.0
387,지속되는,1.0,0.0,0.0
388,고통이나,1.0,0.0,0.0
389,고통이나,1.0,0.0,0.0
390,곤란에,1.0,0.0,0.0
391,고통이나,1.0,0.0,0.0
392,시달림으로,1.0,0.0,0.0
393,고통이나,1.0,0.0,0.0
394,어려운,1.0,0.0,0.0
395,고통이라는,1.0,0.0,0.0
396,고통이라는,1.0,0.0,0.0
397,뜻으로,1.0,0.0,0.0
398,고한,1.0,0.0,0.0
399,곤궁하고,1.0,0.0,0.0
400,곤궁하다,1.0,0.0,0.0
401,곤혹스러운,1.0,0.0,0.0
402,곤혹스럽다,1.0,0.0,0.0
403,골골,1.0,0.0,0.0
404,앓아서,1.0,0.0,0.0
405,골나다,1.0,0.0,0.0
406,골리는,1.0,0.0,0.0
407,골리는,1.0,0.0,0.0
408,짓,1.0,0.0,0.0
409,골이,1.0,0.0,0.0
410,나게,1.0,0.0,0.0
411,곰팡이,1.0,0.0,0.0
412,공개적으로,1.0,0.0,0.0
413,비난하다,1.0,0.0,0.0
414,공격받다,1.0,0.0,0.0
415,공연히,1.0,0.0,0.0
416,미워하고,1.0,0.0,0.0
417,공포,1.0,0.0,0.0
418,공포나,1.0,0.0,0.0
419,긴장으로,1.0,0.0,0.0
420,공포증,1.0,0.0,0.0
421,과음,1.0,0.0,0.0
422,과장되다,1.0,0.0,0.0
423,과장된,1.0,0.0,0.0
